"","plot","type","sp","cc.total","cc.planted","cc.weed","block","phyD","trtD"
"317",234,"Plug","LH.1773854.rep2","85",NA,NA,"D","L","H"
"322",238,"Seed","LH.1773854.rep2","75","65","15","D","L","H"
"325",240,"Plug","LL.1368877.rep2","85",NA,NA,"D","L","L"
"332",246,"Seed","MH.1666090.rep2","75","45","45","D","M","H"
"340",253,"Seed","HH.1709432.rep2","75","75","15","D","H","H"
"347",259,"Seed","LL.1368877.rep2","45","45","15","D","L","L"
"356",266,"Plug","MH.1825752.rep2","75",NA,NA,"D","M","H"
"359",268,"Seed","MH.1825752.rep2","65","45","45","D","M","H"
"362",270,"Seed","HL.1403369.rep2","75","35","65","D","H","L"
"364",271,"Plug","LL.653844.rep2","55",NA,NA,"D","L","L"
"367",273,"Plug","ML.1623993.rep2","92.5",NA,NA,"D","M","L"
"372",277,"Seed","LL.653844.rep2","75","65","25","D","L","L"
"374",278,"Plug","MH.1666090.rep2","85",NA,NA,"D","M","H"
"378",281,"Plug","HH.1018148.rep2","97",NA,NA,"D","H","H"
"382",284,"Plug","HH.1709432.rep2","45",NA,NA,"D","H","H"
"385",286,"Seed","ML.1623993.rep2","75","35","55","D","M","L"
"387",287,"Seed","ML.585975.rep2","75","45","25","D","M","L"
"389",288,"Plug","HL.275733.rep2","85",NA,NA,"D","H","L"
"393",291,"Plug","LL.567931.rep2","97",NA,NA,"E","L","L"
"395",292,"Seed","HL.1338677.rep2","75","55","35","E","H","L"
"397",293,"Seed","HL.246518.rep2","65","45","45","E","H","L"
"400",295,"Seed","ML.628076.rep2","65","35","45","E","M","L"
"402",296,"Plug","LL.660073.rep2","65",NA,NA,"E","L","L"
"407",300,"Plug","MH.75072.rep2","65",NA,NA,"E","M","H"
"414",305,"Seed","LH.389271.rep2","65","35","25","E","L","H"
"419",309,"Plug","ML.975885.rep2","55",NA,NA,"E","M","L"
"423",312,"Seed","HH.1124950.rep2","85","35","45","E","H","H"
"427",315,"Seed","ML.975885.rep2","75","65","25","E","M","L"
"429",316,"Seed","LH.1681808.rep2","85","35","35","E","L","H"
"432",318,"Plug","HL.1338677.rep2","65",NA,NA,"E","H","L"
"434",319,"Plug","MH.928535.rep2","75",NA,NA,"E","M","H"
"436",320,"Plug","ML.628076.rep2","85",NA,NA,"E","M","L"
"438",321,"Plug","LH.389271.rep2","75",NA,NA,"E","L","H"
"441",323,"Plug","HH.623705.rep2","45",NA,NA,"E","H","H"
"450",331,"Seed","MH.75072.rep2","75","55","35","E","M","H"
"453",333,"Plug","LH.1681808.rep2","92.5",NA,NA,"E","L","H"
"456",335,"Seed","LL.660073.rep2","85","35","55","E","L","L"
"459",337,"Seed","LL.567931.rep2","85","35","35","E","L","L"
"469",346,"Plug","HL.246518.rep2","55",NA,NA,"E","H","L"
"478",354,"Seed","MH.928535.rep2","75","35","45","E","M","H"
"480",355,"Seed","HH.623705.rep2","85","35","55","E","H","H"
"482",356,"Plug","HH.1124950.rep2","75",NA,NA,"E","H","H"
"491",364,"Seed","MH.1987913.rep2","75","55","25","F","M","H"
"493",365,"Seed","LH.236970.rep2","65","25","35","F","L","H"
"497",368,"Plug","HL.456657.rep2","75",NA,NA,"F","H","L"
"499",369,"Plug","LL.305726.rep2","75",NA,NA,"F","L","L"
"505",374,"Seed","ML.7316.rep2","85","75","25","F","M","L"
"509",376,"Seed","LL.1091767.rep2","75","65","25","F","L","L"
"513",379,"Plug","HH.1374866.rep2","75",NA,NA,"F","H","H"
"515",380,"Plug","MH.1987913.rep2","75",NA,NA,"F","M","H"
"517",381,"Plug","ML.7316.rep2","75",NA,NA,"F","M","L"
"520",383,"Seed","HL.1817876.rep2","75","25","35","F","H","L"
"525",387,"Seed","HL.456657.rep2","85","45","35","F","H","L"
"528",389,"Seed","ML.520465.rep2","65","65","15","F","M","L"
"532",392,"Plug","MH.831258.rep2","45",NA,NA,"F","M","H"
"536",395,"Seed","HH.1374866.rep2","75","65","25","F","H","H"
"538",396,"Plug","HH.782981.rep2","75",NA,NA,"F","H","H"
"540",397,"Plug","LH.236970.rep2","85",NA,NA,"F","L","H"
"542",398,"Seed","LL.305726.rep2","85","85","15","F","L","L"
"547",402,"Seed","MH.831258.rep2","75","55","35","F","M","H"
"558",412,"Plug","ML.520465.rep2","92.5",NA,NA,"F","M","L"
"561",414,"Plug","LH.1417663.rep2","85",NA,NA,"F","L","H"
"566",418,"Seed","LH.1417663.rep2","75","25","65","F","L","H"
"573",424,"Plug","LL.1091767.rep2","65",NA,NA,"F","L","L"
"576",426,"Seed","HH.782981.rep2","65","25","55","F","H","H"
"580",429,"Plug","HL.1817876.rep2","55",NA,NA,"F","H","L"
